cell type,cell line,rep,date,cells,measurements
iPSC,010S-1,1,181129,20,534
iPSC,010S-1,2,181130,20,495
iPSC,010S-1,3,181129,20,531
iPSC,014S-10,1,181129,20,424
iPSC,014S-10,2,181130,20,366
iPSC,014S-10,3,181130,20,327
iPSC,SB-AD3-1,1,181129,20,437
iPSC,SB-AD3-1,2,181129,20,389
iPSC,SB-AD3-1,3,181130,20,347
NSC,010S-1,1,190117,20,358
NSC,010S-1,2,190117,20,322
NSC,010S-1,3,190117,20,299
NSC,014S-10,1,190117,20,259
NSC,014S-10,2,190117,16,203
NSC,014S-10,3,190305,20,235
NSC,SB-AD3-1,1,190305,20,236
NSC,SB-AD3-1,2,190305,20,217
NSC,SB-AD3-1,3,190305,20,213
Neuron,010S-1,1,190305,20,316
Neuron,010S-1,2,190305,20,407
Neuron,010S-1,3,190305,20,405
Neuron,014S-10,1,190108,20,500
Neuron,014S-10,2,190108,20,394
Neuron,014S-10,3,190108,20,341
Neuron,SB-AD3-1,1,190108,20,250
Neuron,SB-AD3-1,2,190108,20,266
Neuron,SB-AD3-1,3,190108,20,237
